Depth W14,Temp W14,Depth W47,Temp W47,Depth W1,Temp W1,Depth W4,Temp W4,Depth W5,Temp W5
,,,,,,,,158,3.054
,,,,,,,,159,3.046
,,,,,,,,160,3.039
,,,,,,,,161,3.036
,,,,,,,,162,3.036
,,,,,,,,163,3.038
,,,,,,,,164,3.039
,,,,,,,,165,3.04
,,,,,,,,166,3.042
,,,,,,,,167,3.047
,,,,,,,,168,3.051
,,,,,,,,169,3.052
,,,,,,,,170,3.053
,,,,,,,,171,3.053
,,,,,,,,172,3.057
,,,,,,,,173,3.058
,,,,,,,,174,3.058
,,,,,,,,175,3.056
,,,,,,,,176,3.054
,,,,,,,,177,3.054
,,,,,,,,178,3.054
,,,,,,,,179,3.052
,,,,,,,,180,3.051
,,,,,,,,181,3.049
,,,,,,,,182,3.05
,,,,,,,,183,3.047
,,,,,,,,184,3.047
,,,,,,,,185,3.045
,,,,,,,,186,3.043
,,,,,,,,187,3.039
,,,,,,,,188,3.033
,,,,,,,,189,3.033
,,,,,,,,190,3.033
,,,,,,,,191,3.031
,,,,,,,,192,3.031
,,,,,,,,193,3.034
,,,,,,,,194,3.031
,,,,,,,,195,3.03
,,,,,,,,196,3.029
,,,,,,,,197,3.03
,,,,,,,,198,3.029
,,,,,,,,199,3.029
,,,,,,,,200,3.026
,,,,,,,,201,3.025
,,,,,,,,202,3.027
,,,,,,,,203,3.024
,,,,,,,,204,3.022
,,,,,,,,205,3.018
,,,,,,,,206,3.017
,,,,,,,,207,3.017
,,,,,,,,208,3.019
,,,,,,,,209,3.018
,,,,,,,,210,3.018
,,,,,,,,211,3.016
,,,,,,,,212,3.01
,,,,,,,,213,3.004
,,,,,,,,214,3.007
,,,,,,,,215,3.005
,,,,,,,,216,3.003
,,,,,,,,217,3.003
,,,,,,,,218,3
,,,,,,,,219,2.998
,,,,,,,,220,2.998
,,,,,,,,221,2.993
,,,,,,,,222,2.99
,,,,,,,,223,2.987
,,,,,,,,224,2.985
,,,,,,,,225,2.984
,,,,,,,,226,2.98
,,,,,,,,227,2.982
,,,,,,,,228,2.983
,,,,,,,,229,2.981
,,,,,,,,230,2.979
,,,,,,,,231,2.977
,,,,,,,,232,2.974
,,,,,,,,233,2.974
,,,,,,,,234,2.973
,,,,,,,,235,2.975
,,,,,,,,236,2.974
,,,,,,,,237,2.973
,,,,,,,,238,2.972
,,,,,,,,239,2.97
,,,,,,,,240,2.967
,,,,,,,,241,2.968
,,,,,,,,242,2.967
,,,,,,,,243,2.965
,,,,,,,,244,2.966
,,,,,,,,245,2.967
,,,,,,,,246,2.968
,,,,,,,,247,2.968
,,,,,,,,248,2.968
,,,,,,,,249,2.968
,,,,,,,,250,2.968
,,,,,,,,251,2.969
,,,,,,,,252,2.971
,,,,,,,,253,2.972
,,,,,,,,254,2.974
,,,,,,,,255,2.975
,,,,,,,,256,2.976
,,,,,,,,257,2.981
,,,,,,,,258,2.981
,,,,,,,,259,2.98
,,,,,,,,260,2.981
,,,,,,,,261,2.981
,,,,,,,,262,2.982
,,,,,,,,263,2.981
,,,,,,,,264,2.984
,,,,,,,,265,2.985
,,,,,,,,266,2.984
,,,,,,,,267,2.985
,,,,,,,,268,2.986
,,,,,,,,269,2.988
,,,,,,,,270,2.989
,,,,,,,,271,2.989
,,,,,,,,272,2.989
,,,,,,,,273,2.99
,,,,,,,,274,2.994
,,,,,,,,275,2.993
,,,,,,,,276,2.995
,,,,,,,,277,2.993
,,,,,,,,278,2.992
,,,,,,,,279,2.993
,,,,,,,,280,2.993
,,,,,,,,281,2.996
,,,,,,,,282,2.994
,,,,,,,,283,2.995
,,,,,,,,284,2.997
,,,,,,,,285,2.996
,,,,,,,,286,2.997
,,,,,,,,287,2.998
,,,,,,,,288,2.998
,,,,,,,,289,2.999
,,,,,,,,290,2.999
,,,,,,,,291,2.999
,,,,,,,,292,2.996
,,,,,,,,293,2.996
,,,,,,,,294,2.997
,,,,,,,,295,2.998
,,,,,,,,296,2.998
,,,,,,,,297,3
,,,,,,,,298,3
,,,,,,,,299,3
,,,,,,,,300,3.001
,,,,,,,,301,3.003
,,,,,,,,302,3.01
,,,,,,,,303,3.01
,,,,,,,,304,3.009
,,,,,,,,305,3.009
,,,,,,,,306,3.009
,,,,,,,,307,3.008
,,,,,,,,308,3.009
,,,,,,,,309,3.009
,,,,,,,,310,3.011
,,,,,,,,311,3.012
,,,,,,,,312,3.012
,,,,,,,,313,3.013
,,,,,,,,314,3.013
,,,,,,,,315,3.013
,,,,,,,,316,3.013
,,,,,,,,317,3.013
,,,,,,,,318,3.012
,,,,,,,,319,3.012
,,,,,,,,320,3.012
,,,,,,,,321,3.014
,,,,,,,,322,3.014
,,,,,,,,323,3.016
,,,,,,,,324,3.015
,,,,,,,,325,3.016
,,,,,,,,326,3.016
,,,,,,,,327,3.016
,,,,,,,,328,3.016
,,,,,,,,329,3.015
,,,,,,,,330,3.014
,,,,,,,,331,3.016
,,,,,,,,332,3.016
,,,,,,,,333,3.014
,,,,,,,,334,3.014
,,,,,,,,335,3.016
,,,,,,,,336,3.016
,,,,,,,,337,3.016
,,,,,,,,338,3.016
,,,,,,,,339,3.016
,,,,,,,,340,3.016
,,,,,,,,341,3.015
,,,,,,,,342,3.016
,,,,,,,,343,3.015
,,,,,,,,344,3.016
,,,,,,,,345,3.017
,,,,,,,,346,3.017
,,,,,,,,347,3.015
,,,,,,,,348,3.016
,,,,,,,,349,3.015
,,,,,,,,350,3.016
,,,,,,,,351,3.016
,,,,,,,,352,3.018
,,,,,,,,353,3.017
,,,,,,,,354,3.017
,,,,,,,,355,3.017
,,,,,,,,356,3.016
,,,,,,,,357,3.017
,,,,,,,,358,3.017
,,,,,,,,359,3.018
,,,,,,,,360,3.017
,,,,,,,,361,3.019
,,,,,,,,362,3.017
,,,,,,,,363,3.019
,,,,,,,,364,3.02
,,,,,,,,365,3.02
,,,,,,,,366,3.018
,,,,,,,,367,3.019
,,,,,,,,368,3.019
,,,,,,,,369,3.017
,,,,,,,,370,3.017
,,,,,,,,371,3.017
,,,,,,,,372,3.02
,,,,,,,,373,3.02
,,,,,,,,374,3.021
,,,,,,,,375,3.019
,,,,,,,,376,3.019
,,,,,,,,377,3.021
,,,,,,,,378,3.021
,,,,,,,,379,3.021
,,,,,,,,380,3.022
,,,,,,,,381,3.023
,,,,,,,,382,3.023
,,,,,,,,383,3.024
,,,,,,,,384,3.026
,,,,,,,,385,3.024
,,,,,,,,386,3.022
,,,,,,,,387,3.022
,,,,,,,,388,3.022
,,,,,,,,389,3.024
,,,,,,,,390,3.024
,,,,,,,,391,3.023
,,,,,,,,392,3.023
,,,,,,,,393,3.023
,,,,,,,,394,3.022
,,,,,,,,395,3.024
,,,,,,,,396,3.024
,,,,,,,,397,3.027
,,,,,,,,398,3.028
,,,,,,,,399,3.029
,,,,,,,,400,3.029
,,,,,,,,401,3.026
,,,,,,,,402,3.026
,,,,,,,,403,3.03
,,,,,,,,404,3.03
,,,,,,,,405,3.028
,,,,,,,,406,3.027
,,,,,,,,407,3.029
,,,,,,,,408,3.03
,,,,,,,,409,3.032
,,,,,,,,410,3.032
,,,,,,,,411,3.033
,,,,,,,,412,3.031
,,,,,,,,413,3.033
,,,,,,,,414,3.03
,,,,,,,,415,3.03
,,,,,,,,416,3.032
,,,,,,,,417,3.034
,,,,,,,,418,3.036
,,,,,,,,419,3.034
,,,,,,,,420,3.031
,,,,,,,,421,3.03
,,,,,,,,422,3.033
,,,,,,,,423,3.037
,,,,,,,,424,3.039
,,,,,,,,425,3.039
,,,,,,,,426,3.038
,,,,,,,,427,3.034
,,,,,,,,428,3.036
,,,,,,,,429,3.039
,,,,,,,,430,3.039
,,,,,,,,431,3.04
,,,,,,,,432,3.039
,,,,,,,,433,3.037
,,,,,,,,434,3.036
,,,,,,,,435,3.039
,,,,,,,,436,3.045
,,,,,,,,437,3.048
,,,,,,,,438,3.05
,,,,,,,,439,3.052
,,,,,,,,440,3.046
,,,,,,,,441,3.049
,,,,,,,,442,3.054
,,,,,,,,443,3.054
,,,,,,,,444,3.049
,,,,,,,,445,3.049
,,,,,,,,446,3.054
,,,,,,,,447,3.057
,,,,,,,,448,3.059
,,,,,,,,449,3.067
,,,,,,,,450,3.063
,,,,,,,,451,3.062
,,,,,,,,452,3.056
,,,,,,,,453,3.05
,,,,,,,,454,3.053
,,,,,,,,455,3.066
,,,,,,,,456,3.075
,,,,,,,,457,3.076
,,,,,,,,458,3.07
,,,,,,,,459,3.058
,,,,,,,,460,3.056
,,,,,,,,461,3.066
,,,,,,,,462,3.07
,,,,,,,,463,3.076
,,,,,,,,464,3.081
,,,,,,,,465,3.079
,,,,,,,,466,3.082
,,,,,,,,467,3.101
,,,,,,,,468,3.11
,,,,,,,,469,3.115
,,,,,,,,470,3.127
,,,,,,,,471,3.111
,,,,,,,,472,3.087
,,,,,,,,473,3.092
,,,,,,,,474,3.094
,,,,,,,,475,3.098
,,,,,,,,476,3.092
,,,,,,,,477,3.095
,,,,,,,,478,3.108
,,,,,,,,479,3.114
,,,,,,,,480,3.121
,,,,,,,,481,3.142
,,,,,,,,482,3.134
,,,,,,,,483,3.141
,,,,,,,,484,3.163
,,,,,,,,485,3.15
,,,,,,,,486,3.15
,,,,,,,,487,3.156
,,,,,,,,488,3.146
,,,,,,,,489,3.121
,,,,,,,,490,3.123
,,,,,,,,491,3.143
,,,,,,,,492,3.157
,,,,,,,,493,3.157
,,,,,,,,494,3.158
,,,,,,,,495,3.155
,,,,,,,,496,3.18
,,,,,,,,497,3.183
,,,,,,,,498,3.182
,,,,,,,,499,3.187
,,,,,,,,500,3.192
,,,,,,,,501,3.191
,,,,,,,,502,3.185
,,,,,,,,503,3.181
,,,,,,,,504,3.161
,,,,,,,,505,3.169
,,,,,,,,506,3.183
,,,,,,,,507,3.179
,,,,,,,,508,3.178
,,,,,,,,509,3.169
,,,,,,,,510,3.182
,,,,,,,,511,3.204
,,,,,,,,512,3.221
,,,,,,,,513,3.24
,,,,,,,,514,3.235
,,,,,,,,515,3.232
,,,,,,,,516,3.236
,,,,,,,,517,3.244
,,,,,,,,518,3.243
,,,,,,,,519,3.247
,,,,,,,,520,3.266
,,,,,,,,521,3.273
,,,,,,,,522,3.271
,,,,,,,,523,3.243
,,,,,,,,524,3.265
,,,,,,,,525,3.271
,,,,,,,,526,3.285
,,,,,,,,527,3.269
,,,,,,,,528,3.263
,,,,,,,,529,3.255
,,,,,,,,530,3.255
,,,,,,,,531,3.264
,,,,,,,,532,3.299
,,,,,,,,533,3.322
,,,,,,,,534,3.335
,,,,,,,,535,3.323
,,,,,,,,536,3.287
,,,,,,,,537,3.299
,,,,,,,,538,3.322
,,,,,,,,539,3.343
,,,,,,,,540,3.346
,,,,,,,,541,3.336
,,,,,,,,542,3.35
,,,,,,,,543,3.295
,,,,,,,,544,3.315
,,,,,,,,545,3.36
,,,,,,,,546,3.362
,,,,,,,,547,3.348
,,,,,,,,548,3.343
,,,,,,,,549,3.338
,,,,,,,,550,3.359
,,,,,,,,551,3.373
,,,,,,,,552,3.412
,,,,,,,,553,3.449
,,,,,,,,554,3.422
,,,,,,,,555,3.398
,,,,,,,,556,3.368
,,,,,,,,557,3.378
,,,,,,,,558,3.432
,,,,,,,,559,3.452
,,,,,,,,560,3.468
,,,,,,,,561,3.425
,,,,,,,,562,3.468
,,,,,,,,563,3.481
,,,,,,,,564,3.483
,,,,,,,,565,3.472
,,,,,,,,566,3.504
,,,,,,,,567,3.465
,,,,,,,,568,3.437
,,,,,,,,569,3.456
,,,,,,,,570,3.491
,,,,,,,,571,3.525
,,,,,,,,572,3.509
,,,,,,,,573,3.525
,,,,,,,,574,3.53
,,,,,,,,575,3.47
,,,,,,,,576,3.486
,,,,,,,,577,3.542
,,,,,,,,578,3.544
,,,,,,,,579,3.529
,,,,,,,,580,3.518
,,,,,,,,581,3.518
,,,,,,,,582,3.534
,,,,,,,,583,3.581
,,,,,,,,584,3.6
,,,,,,,,585,3.549
,,,,,,,,586,3.524
,,,,,,,,587,3.526
,,,,,,,,588,3.534
,,,,,,,,589,3.596
,,,,,,,,590,3.646
,,,,,,,,591,3.653
,,,,,,,,592,3.575
,,,,,,,,593,3.57
,,,,,,,,594,3.6
,,,,,,,,595,3.615
,,,,,,,,596,3.686
,,,,,,,,597,3.677
,,,,,,,,598,3.672
,,,,,,,,599,3.651
,,,,,,,,600,3.677
,,,,,,,,601,3.636
,,,,,,,,602,3.656
,,,,,,,,603,3.678
,,,,,,,,604,3.681
,,,,,,,,605,3.679
,,,,,,,,606,3.639
,,,,,,,,607,3.665
,,,,,,,,608,3.76
,,,,,,,,609,3.801
,,,,,,,,610,3.832
,,,,,,,,611,3.861
,,,,,,,,612,3.858
,,,,,,,,613,3.781
,,,,,,,,614,3.707
,,,,,,,,615,3.75
,,,,,,,,616,3.791
,,,,,,,,617,3.785
,,,,,,,,618,3.757
,,,,,,,,619,3.745
,,,,,,,,620,3.753
,,,,,,,,621,3.781
,,,,,,,,622,3.79
,,,,,,,,623,3.802
,,,,,,,,624,3.829
,,,,,,,,625,3.834
,,,,,,,,626,3.832
,,,,,,,,627,3.838
,,,,,,,,628,3.897
,,,,,,,,629,3.944
,,,,,,,,630,3.965
,,,,,,,,631,3.96
,,,,,,,,632,3.924
,,,,,,,,633,3.838
,,,,,,,,634,3.852
,,,,,,,,635,3.89
,,,,,,,,636,3.932
,,,,,,,,637,3.935
,,,,,,,,638,3.946
,,,,,,,,639,3.915
,,,,,,,,640,3.934
,,,,,,,,641,3.998
,,,,,,,,642,4.027
,,,,,,,,643,4.041
,,,,,,,,644,3.986
,,,,,,,,645,3.987
,,,,,,,,646,3.987
,,,,,,,,647,4.096
,,,,,,,,648,4.1
,,,,,,,,649,4.084
,,,,,,,,650,4.081
,,,,,,,,651,4.013
,,,,,,,,652,4.04
,,,,,,,,653,4.05
,,,,,,,,654,4.074
,,,,,,,,655,4.085
,,,,,,,,656,4.094
,,,,,,,,657,4.086
,,,,,,,,658,4.146
,,,,,,,,659,4.166
,,,,,,,,660,4.209
,,,,,,,,661,4.27
,,,,,,,,662,4.285
,,,,,,,,663,4.268
,,,,,,,,664,4.21
,,,,,,,,665,4.124
,,,,,,,,666,4.128
,,,,,,,,667,4.179
,,,,,,,,668,4.187
,,,,,,,,669,4.157
,,,,,,,,670,4.135
,,,,,,,,671,4.198
,,,,,,,,672,4.245
,,,,,,,,673,4.309
,,,,,,,,674,4.348
,,,,,,,,675,4.368
,,,,,,,,676,4.374
,,,,,,,,677,4.383
,,,,,,,,678,4.243
,,,,,,,,679,4.237
,,,,,,,,680,4.29
,,,,,,,,681,4.313
,,,,,,,,682,4.311
,,,,,,,,683,4.247
,,,,,,,,684,4.275
,,,,,,,,685,4.297
,,,,,,,,686,4.371
,,,,,,,,687,4.431
,,,,,,,,688,4.475
,,,,,,,,689,4.497
,,,,,,,,690,4.491
,,,,,,,,691,4.335
,,,,,,,,692,4.384
,,,,,,,,693,4.46
,,,,,,,,694,4.505
,,,,,,,,695,4.51
,,,,,,,,696,4.545
,,,,,,,,697,4.431
,,,,,,,,698,4.521
,,,,,,,,699,4.569
,,,,,,,,700,4.591
,,,,,,,,701,4.527
,,,,,,,,702,4.481
,,,,,,,,703,4.463
,,,,,,,,704,4.491
,,,,,,,,705,4.514
,,,,,,,,706,4.544
,,,,,,,,707,4.574
,,,,,,,,708,4.599
,,,,,,,,709,4.622
,,,,,,,,710,4.552
,,,,,,,,711,4.576
,,,,,,,,712,4.636
,,,,,,,,713,4.659
,,,,,,,,714,4.61
,,,,,,,,715,4.533
,,,,,,,,716,4.531
,,,,,,,,717,4.523
,,,,,,,,718,4.53
,,,,,,,,719,4.567
,,,,,,,,720,4.568
,,,,,,,,721,4.569
,,,,,,,,722,4.572
,,,,,,,,723,4.545
,,,,,,,,724,4.565
,,,,,,,,725,4.611
,,,,,,,,726,4.658
,,,,,,,,727,4.717
,,,,,,,,728,4.759
,,,,,,,,729,4.759
,,,,,,,,730,4.632
,,,,,,,,731,4.654
,,,,,,,,732,4.72
,,,,,,,,733,4.764
,,,,,,,,734,4.822
,,,,,,,,735,4.894
,,,,,,,,736,4.824
,,,,,,,,737,4.925
,,,,,,,,738,4.932
,,,,,,,,739,4.843
,,,,,,,,740,4.775
,,,,,,,,741,4.763
,,,,,,,,742,4.816
,,,,,,,,743,4.799
,,,,,,,,744,4.848
,,,,,,,,745,4.861
,,,,,,,,746,4.872
,,,,,,,,747,4.831
,,,,,,,,748,4.883
,,,,,,,,749,5.013
,,,,,,,,750,5.207
,,,,,,,,751,5.3
,,,,,,,,752,5.351
,,,,,,,,753,5.321
,,,,,,,,754,5.221
,,,,,,,,755,5.153
,,,,,,,,756,5.097
,,,,,,,,757,5.153
,,,,,,,,758,5.196
,,,,,,,,759,5.233
,,,,,,,,760,5.259
,,,,,,,,761,5.358
,,,,,,,,762,5.4
,,,,,,,,763,5.369
,,,,,,,,764,5.283
,,,,,,,,765,5.183
,,,,,,,,766,5.164
,,,,,,,,767,5.182
,,,,,,,,768,5.226
,,,,,,,,769,5.223
,,,,,,,,770,5.222
,,,,,,,,771,5.202
,,,,,,,,772,5.209
,,,,,,,,773,5.261
,,,,,,,,774,5.345
,,,,,,,,775,5.349
,,,,,,,,776,5.355
,,,,,,,,777,5.393
,,,,,,,,778,5.407
,,,,,,,,779,5.434
